study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Barrington2011a	all	43.0	NA	species	43.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	ethnicity	15.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	ethnicity	3.0	NA	african	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	ethnicity	18.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	ethnicity	6.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	ethnicity	1.0	NA	west asian	NA	NA	NA	NA	NA	NA	NA	"""west asian"""
Barrington2011a	all	43.0	NA	sex	15.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	sex	28.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	healthy	43.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	disease	43.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	age	43.0	NA	NA	55.3	NA	6.1	NA	NA	NA	yr	NA
Barrington2011a	all	43.0	NA	weight	43.0	NA	NA	83.3	NA	13.0	NA	NA	NA	kg	NA
Barrington2011a	all	43.0	NA	bmi	43.0	NA	NA	30.8	NA	4.0	NA	NA	NA	kg/m^2	NA
Barrington2011a	all	43.0	NA	hba1c	43.0	NA	NA	7.6	NA	1.1	NA	NA	NA	percent	NA
Barrington2011a	all	43.0	NA	concentration	43.0	glucose	NA	166.3	NA	43.1	NA	NA	NA	mg/dl	fasting plasma glucose
Barrington2011a	all	43.0	NA	medication	13.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	all	43.0	NA	medication	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	26 Metformin, 2 Thiazolidinediones, 2 Sulfonylurea changed to metformin
Barrington2011a	PLAC	11.0	all	ethnicity	4.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	ethnicity	5.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	ethnicity	2.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	sex	5.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	age	11.0	NA	NA	56.0	NA	6.1	NA	NA	NA	yr	NA
Barrington2011a	PLAC	11.0	all	weight	11.0	NA	NA	83.2	NA	8.0	NA	NA	NA	kg	NA
Barrington2011a	PLAC	11.0	all	bmi	11.0	NA	NA	29.9	NA	4.1	NA	NA	NA	kg/m^2	NA
Barrington2011a	PLAC	11.0	all	hba1c	11.0	NA	NA	7.4	NA	1.0	NA	NA	NA	percent	NA
Barrington2011a	PLAC	11.0	all	concentration	11.0	glucose	NA	158.4	NA	33.8	NA	NA	NA	mg/dl	fasting plasma glucose
Barrington2011a	PLAC	11.0	all	medication	1.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Barrington2011a	PLAC	11.0	all	medication	10.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	7 Metformin, 1 Thiazolidinediones, 2 Sulfonylurea changed to metformin
