study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	ci	cv	unit	comments
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	0.0	day	0.0	NA	NA	NA	0.0	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	0.5	day	53.370920779546	NA	NA	NA	22.8551044928706	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	1.0	day	68.7808310297014	NA	NA	NA	26.9898655866708	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	2.0	day	83.2511169554294	NA	NA	NA	28.7883155024969	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	3.0	day	76.8146565949433	NA	NA	NA	16.1042606087515	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	4.0	day	67.8412022247748	NA	NA	NA	18.0362331168053	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	7.0	day	38.9006393343171	NA	NA	NA	10.5686749394777	NA	NA	NA	ng/ml	NA
FDAGBDO	control	11.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control	14.0	day	14.4702886140277	NA	NA	NA	3.21079582409449	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	0.0	day	0.0	NA	NA	NA	0.0	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	0.5	day	30.4048247079738	NA	NA	NA	11.1245218957426	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	1.0	day	52.6270485730457	NA	NA	NA	18.0610130350332	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	2.0	day	64.5994836243982	NA	NA	NA	21.058402582438	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	3.0	day	62.360033001237	NA	NA	NA	14.5647177159764	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	4.0	day	55.9862228649379	NA	NA	NA	13.2995046410482	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	7.0	day	31.0077571339743	NA	NA	NA	8.75812951005969	NA	NA	NA	ng/ml	NA
FDAGBDO	mildH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH	14.0	day	9.13006514498858	NA	NA	NA	1.97917670958602	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	0.0	day	0.0	NA	NA	NA	0.0	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	0.5	day	30.4048312793727	NA	NA	NA	18.9048913671964	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	1.0	day	46.770023108078	NA	NA	NA	16.5721571033316	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	2.0	day	59.5176565234741	NA	NA	NA	17.6814230109484	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	3.0	day	54.5219673201208	NA	NA	NA	11.3448173147813	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	4.0	day	51.5073249043148	NA	NA	NA	9.20806206957539	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	7.0	day	30.5770906460169	NA	NA	NA	4.39023100595291	NA	NA	NA	ng/ml	NA
FDAGBDO	modH	6.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH	14.0	day	8.26874202617208	NA	NA	NA	1.760145299346	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	0.0	day	0.0	NA	NA	NA	0.0	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	0.5	day	23.4280821456741	NA	NA	NA	8.04498757178907	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	1.0	day	42.721788349713	NA	NA	NA	9.24953423323959	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	2.0	day	57.8811383263134	NA	NA	NA	10.3229927221624	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	3.0	day	62.1877769202923	NA	NA	NA	11.6288648819105	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	4.0	day	54.9526338080782	NA	NA	NA	10.3531275418092	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	7.0	day	33.7639989998659	NA	NA	NA	3.3624823215791	NA	NA	NA	ng/ml	NA
FDAGBDO	sevH	3.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH	14.0	day	11.1972498301067	NA	NA	NA	1.30057408864558	NA	NA	NA	ng/ml	NA
