study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	cv	se	min	max	sd	unit	comments
Xu2022	A	16.0	DUL05S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	5090.0	NA	62.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	7060.0	NA	23.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	12600.0	NA	12.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL05S	auc_end	dulaglutide	plasma	RIA	96.0	hr	2120.0	NA	35.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	auc_end	dulaglutide	plasma	RIA	96.0	hr	3350.0	NA	14.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	auc_end	dulaglutide	plasma	RIA	96.0	hr	6230.0	NA	18.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL05S	auc_end	dulaglutide	plasma	RIA	168.0	hr	3540.0	NA	30.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	auc_end	dulaglutide	plasma	RIA	168.0	hr	4970.0	NA	13.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	auc_end	dulaglutide	plasma	RIA	168.0	hr	9050.0	NA	15.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL05S	auc_end	dulaglutide	plasma	RIA	336.0	hr	4500.0	NA	42.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	auc_end	dulaglutide	plasma	RIA	336.0	hr	6410.0	NA	14.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	auc_end	dulaglutide	plasma	RIA	336.0	hr	11700.0	NA	12.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	A	16.0	DUL05S	cmax	dulaglutide	plasma	RIA	NA	NA	29.4	NA	39.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	A	16.0	DUL075S	cmax	dulaglutide	plasma	RIA	NA	NA	44.2	NA	14.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	A	16.0	DUL15S	cmax	dulaglutide	plasma	RIA	NA	NA	81.5	NA	12.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	A	16.0	DUL05S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.02	NA	NA	12.02	48.02	NA	hr	NA
Xu2022	A	16.0	DUL075S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	24.0	48.0	NA	hr	NA
Xu2022	A	16.0	DUL15S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	24.0	48.0	NA	hr	NA
Xu2022	A	16.0	DUL05S	thalf	dulaglutide	plasma	RIA	NA	NA	85.1	NA	NA	NA	50.8	244.0	NA	hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	thalf	dulaglutide	plasma	RIA	NA	NA	84.5	NA	NA	NA	60.2	228.0	NA	hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	thalf	dulaglutide	plasma	RIA	NA	NA	82.9	NA	NA	NA	63.8	104.0	NA	hr	mean is geometric mean
Xu2022	A	16.0	DUL05S	vd	dulaglutide	plasma	RIA	NA	NA	12.1	NA	14.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	A	16.0	DUL075S	vd	dulaglutide	plasma	RIA	NA	NA	13.0	NA	22.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	A	16.0	DUL15S	vd	dulaglutide	plasma	RIA	NA	NA	14.3	NA	21.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	A	16.0	DUL05S	clearance	dulaglutide	plasma	RIA	NA	NA	0.0982	NA	62.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	A	16.0	DUL075S	clearance	dulaglutide	plasma	RIA	NA	NA	0.106	NA	23.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	A	16.0	DUL15S	clearance	dulaglutide	plasma	RIA	NA	NA	0.119	NA	12.0	NA	NA	NA	NA	l/hr	mean is geometric mean
