study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Xu2022	Bplac	10.0	DULPLAM	hba1c (change)	NA	plasma	NR	hba1c_change_DULPLAM	0.0	day	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Xu2022	Bplac	10.0	DULPLAM	hba1c (change)	NA	plasma	NR	hba1c_change_DULPLAM	29.0	day	-0.26	NA	NA	NA	0.486199695340774	NA	0.602699386503066	percent	NA
Xu2022	Bplac	10.0	DULPLAM	hba1c (change)	NA	plasma	NR	hba1c_change_DULPLAM	43.0	day	-0.35	NA	NA	NA	0.479567824304789	NA	0.594478433995158	percent	NA
Xu2022	B05	11.0	DUL05M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05M	0.0	day	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Xu2022	B05	11.0	DUL05M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05M	29.0	day	-0.55	NA	NA	NA	0.491555760708045	NA	0.58098178231643	percent	NA
Xu2022	B05	11.0	DUL05M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05M	43.0	day	-0.55	NA	NA	NA	0.507127743885499	NA	0.59938669029189	percent	NA
Xu2022	B075	11.0	DUL075M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075M	0.0	day	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Xu2022	B075	11.0	DUL075M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075M	29.0	day	-0.64	NA	NA	NA	0.489790777541529	NA	0.578895705521472	percent	NA
Xu2022	B075	11.0	DUL075M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075M	43.0	day	-0.92	NA	NA	NA	0.488337550851358	NA	0.57717810133482	percent	NA
Xu2022	B15	10.0	DUL15M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15M	0.0	day	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Xu2022	B15	10.0	DUL15M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15M	29.0	day	-1.04	NA	NA	NA	0.479864996924648	NA	0.59484681299126	percent	NA
Xu2022	B15	10.0	DUL15M	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15M	43.0	day	-1.09	NA	NA	NA	0.478379964515478	NA	0.5930059477449	percent	NA
