study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	se	min	max	sd	cv	unit	comments
Xu2022	B05	11.0	DUL05S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	4700.0	NA	10.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	6590.0	NA	26.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	auc_inf	dulaglutide	plasma	RIA	672.0	hr	11300.0	NA	20.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05S	auc_end	dulaglutide	plasma	RIA	96.0	hr	1570.0	NA	12.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	auc_end	dulaglutide	plasma	RIA	96.0	hr	2400.0	NA	21.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	auc_end	dulaglutide	plasma	RIA	96.0	hr	3950.0	NA	27.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05S	auc_end	dulaglutide	plasma	RIA	168.0	hr	2570.0	NA	8.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	auc_end	dulaglutide	plasma	RIA	168.0	hr	3960.0	NA	20.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	auc_end	dulaglutide	plasma	RIA	168.0	hr	6480.0	NA	21.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05S	auc_end	dulaglutide	plasma	RIA	336.0	hr	3900.0	NA	7.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	auc_end	dulaglutide	plasma	RIA	336.0	hr	5490.0	NA	19.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	auc_end	dulaglutide	plasma	RIA	336.0	hr	10300.0	NA	16.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05S	cmax	dulaglutide	plasma	RIA	NA	NA	20.7	NA	18.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B075	11.0	DUL075S	cmax	dulaglutide	plasma	RIA	NA	NA	31.3	NA	23.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B15	10.0	DUL15S	cmax	dulaglutide	plasma	RIA	NA	NA	52.6	NA	28.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B05	11.0	DUL05S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	47.92	72.0	NA	hr	NA
Xu2022	B075	11.0	DUL075S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	24.0	72.0	NA	hr	NA
Xu2022	B15	10.0	DUL15S	tmax	dulaglutide	plasma	RIA	NA	NA	NA	71.98	NA	NA	24.0	96.0	NA	hr	NA
Xu2022	B05	11.0	DUL05S	thalf	dulaglutide	plasma	RIA	NA	NA	122.0	NA	NA	NA	106.0	1334.0	NA	hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	thalf	dulaglutide	plasma	RIA	NA	NA	113.0	NA	NA	NA	63.9	222.0	NA	hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	thalf	dulaglutide	plasma	RIA	NA	NA	88.5	NA	NA	NA	69.6	111.0	NA	hr	mean is geometric mean
Xu2022	B05	11.0	DUL05S	vd	dulaglutide	plasma	RIA	NA	NA	18.8	NA	9.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B075	11.0	DUL075S	vd	dulaglutide	plasma	RIA	NA	NA	18.5	NA	30.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B15	10.0	DUL15S	vd	dulaglutide	plasma	RIA	NA	NA	17.0	NA	17.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B05	11.0	DUL05S	clearance	dulaglutide	plasma	RIA	NA	NA	0.106	NA	10.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	B075	11.0	DUL075S	clearance	dulaglutide	plasma	RIA	NA	NA	0.114	NA	26.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	B15	10.0	DUL15S	clearance	dulaglutide	plasma	RIA	NA	NA	0.133	NA	20.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	auc_inf	dulaglutide	plasma	RIA	672.0	hr	5280.0	NA	9.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	auc_inf	dulaglutide	plasma	RIA	672.0	hr	8070.0	NA	19.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	auc_inf	dulaglutide	plasma	RIA	672.0	hr	14200.0	NA	15.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	auc_end	dulaglutide	plasma	RIA	96.0	hr	2090.0	NA	24.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	auc_end	dulaglutide	plasma	RIA	96.0	hr	3440.0	NA	18.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	auc_end	dulaglutide	plasma	RIA	96.0	hr	5820.0	NA	18.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	auc_end	dulaglutide	plasma	RIA	168.0	hr	3510.0	NA	9.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	auc_end	dulaglutide	plasma	RIA	168.0	hr	5090.0	NA	16.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	auc_end	dulaglutide	plasma	RIA	168.0	hr	9020.0	NA	16.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	auc_end	dulaglutide	plasma	RIA	336.0	hr	4720.0	NA	7.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	auc_end	dulaglutide	plasma	RIA	336.0	hr	7030.0	NA	17.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	auc_end	dulaglutide	plasma	RIA	336.0	hr	12500.0	NA	15.0	NA	NA	NA	NA	ng/ml*hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	cmax	dulaglutide	plasma	RIA	NA	NA	26.3	NA	27.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B075	11.0	DUL075M	cmax	dulaglutide	plasma	RIA	NA	NA	41.4	NA	18.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B15	10.0	DUL15M	cmax	dulaglutide	plasma	RIA	NA	NA	70.2	NA	19.0	NA	NA	NA	NA	ng/ml	mean is geometric mean
Xu2022	B05	11.0	DUL05M	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	12.0	48.02	NA	hr	NA
Xu2022	B075	11.0	DUL075M	tmax	dulaglutide	plasma	RIA	NA	NA	NA	47.98	NA	NA	24.0	48.0	NA	hr	NA
Xu2022	B15	10.0	DUL15M	tmax	dulaglutide	plasma	RIA	NA	NA	NA	48.0	NA	NA	23.97	96.0	NA	hr	NA
Xu2022	B05	11.0	DUL05M	thalf	dulaglutide	plasma	RIA	NA	NA	97.6	NA	NA	NA	71.9	122.0	NA	hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	thalf	dulaglutide	plasma	RIA	NA	NA	106.0	NA	NA	NA	70.4	139.0	NA	hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	thalf	dulaglutide	plasma	RIA	NA	NA	105.0	NA	NA	NA	80.0	134.0	NA	hr	mean is geometric mean
Xu2022	B05	11.0	DUL05M	vd	dulaglutide	plasma	RIA	NA	NA	20.1	NA	27.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B075	11.0	DUL075M	vd	dulaglutide	plasma	RIA	NA	NA	22.6	NA	29.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B15	10.0	DUL15M	vd	dulaglutide	plasma	RIA	NA	NA	25.2	NA	29.0	NA	NA	NA	NA	l	mean is geometric mean
Xu2022	B05	11.0	DUL05M	clearance	dulaglutide	plasma	RIA	NA	NA	0.143	NA	9.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	B075	11.0	DUL075M	clearance	dulaglutide	plasma	RIA	NA	NA	0.147	NA	16.0	NA	NA	NA	NA	l/hr	mean is geometric mean
Xu2022	B15	10.0	DUL15M	clearance	dulaglutide	plasma	RIA	NA	NA	0.166	NA	16.0	NA	NA	NA	NA	l/hr	mean is geometric mean
