study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	4.0	week	-0.440336147276293	NA	NA	NA	0.7440651290626119	NA	0.04705881070689999	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	8.0	week	-0.816806697044052	NA	NA	NA	0.8503595682380922	NA	0.05378146131499495	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	14.0	week	-1.08571426006926	NA	NA	NA	1.009801733855644	NA	0.06386546928341996	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	26.0	week	-1.16638658026687	NA	NA	NA	1.1160971867396288	NA	0.07058818400407008	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	39.0	week	-0.941176470588235	NA	NA	NA	1.2755393523571312	NA	0.08067219197249198	NA	percent	NA
Wang2019	GLAR	250.0	GLAR	hba1c (change)	NA	plasma	NR	hba1c_change_GLAR	52.0	week	-0.890756302521008	NA	NA	NA	1.169245926890217	NA	0.07394960547695606	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	4.0	week	-0.830252126485359	NA	NA	NA	0.6936755668912747	NA	0.043697453346572934	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	8.0	week	-1.29075635381105	NA	NA	NA	0.747036478504865	NA	0.04705887481946003	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	14.0	week	-1.46890758867023	NA	NA	NA	0.9604740184272254	NA	0.06050417603565017	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	26.0	week	-1.33781510040539	NA	NA	NA	1.0138328945300237	NA	0.06386546928340997	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	39.0	week	-1.19663873239725	NA	NA	NA	1.173913593860256	NA	0.07394960547695995	NA	percent	NA
Wang2019	DUL075	252.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	52.0	week	-1.02521008403361	NA	NA	NA	1.2272724699630755	NA	0.07731089872472108	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	4.0	week	-0.968067201245732	NA	NA	NA	0.6415838629756189	NA	0.04033603187368695	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	8.0	week	-1.53277318617876	NA	NA	NA	0.8019818682647717	NA	0.05042016806721983	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	14.0	week	-1.80168062097886	NA	NA	NA	0.9623757944634229	NA	0.06050404781053009	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	26.0	week	-1.73109243697479	NA	NA	NA	1.0693091576866318	NA	0.06722689075631005	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	39.0	week	-1.6235295143448	NA	NA	NA	1.176240481364295	NA	0.07394960547696017	NA	percent	NA
Wang2019	DUL15	253.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	52.0	week	-1.46554629542246	NA	NA	NA	1.176240481364295	NA	0.07394960547696017	NA	percent	NA
