study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	8.0	hr	34.7541055027476	NA	NA	NA	23.2786832790825	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	12.0	hr	45.2458986663203	NA	NA	NA	26.557384276704	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	24.0	hr	66.885250207398	NA	NA	NA	16.0655660987233	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	36.0	hr	73.1147508348689	NA	NA	NA	17.0491826516116	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	48.0	hr	77.7049197243349	NA	NA	NA	17.704922851136	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	72.0	hr	71.4754065896601	NA	NA	NA	15.409838406403	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	120.0	hr	54.0983600918883	NA	NA	NA	13.442630315034	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	168.0	hr	39.0163980388495	NA	NA	NA	8.1967212260437	NA	NA	ng/ml	NA
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	336.0	hr	12.4590137621456	NA	NA	NA	5.2459090889903	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	8.0	hr	37.0491774402766	NA	NA	NA	20.6557474953933	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	12.0	hr	47.8688594644175	NA	NA	NA	23.6065471252426	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	24.0	hr	63.9344255631407	NA	NA	NA	19.0163907429806	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	36.0	hr	70.1639386978155	NA	NA	NA	19.999994788665	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	48.0	hr	75.4098352796019	NA	NA	NA	20.3278711420291	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	72.0	hr	69.1803346521311	NA	NA	NA	17.704910343932	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	120.0	hr	52.7868922000437	NA	NA	NA	14.7540982068786	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	168.0	hr	38.3606578393252	NA	NA	NA	8.852461425568	NA	NA	ng/ml	NA
FDAGBCN	all	40.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_arm	336.0	hr	12.4590137621456	NA	NA	NA	4.590168889466	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	8.0	hr	27.2131119690242	NA	NA	NA	17.0491826516117	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	12.0	hr	37.7049176398009	NA	NA	NA	23.2786957862865	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	24.0	hr	54.4262364452524	NA	NA	NA	19.6721309425049	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	36.0	hr	60.3278732265631	NA	NA	NA	18.6885268968204	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	48.0	hr	66.2295100078738	NA	NA	NA	18.6885268968204	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	72.0	hr	66.885250207398	NA	NA	NA	15.409838406403	NA	NA	ng/ml	NA
FDAGBCN	all	39.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_thigh	120.0	hr	52.4590158466796	NA	NA	NA	12.4590137621456	NA	NA	ng/ml	NA
