study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Grunberger2012	PLAC	32.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	0.0	week	7.68584070964505	NA	NA	NA	0.76991148425937	NA	NA	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	4.0	week	7.63938048476106	NA	NA	NA	0.83628316175425	NA	NA	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	8.0	week	7.65929193737195	NA	NA	NA	0.86946912709562	NA	NA	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	12.0	week	7.64601780442326	NA	NA	NA	0.92920335833437	NA	NA	NA	percent	NA
Grunberger2012	PLAC	35.0	DUL01	hba1c	NA	plasma	NR	hba1c_DUL01	0.0	week	7.57300880726618	NA	NA	NA	0.73672564551194	NA	NA	NA	percent	NA
Grunberger2012	PLAC	35.0	DUL01	hba1c	NA	plasma	NR	hba1c_DUL01	4.0	week	7.34070793603411	NA	NA	NA	0.76991148425937	NA	NA	NA	percent	NA
Grunberger2012	PLAC	35.0	DUL01	hba1c	NA	plasma	NR	hba1c_DUL01	8.0	week	7.31415941694887	NA	NA	NA	0.86946887390776	NA	NA	NA	percent	NA
Grunberger2012	PLAC	35.0	DUL01	hba1c	NA	plasma	NR	hba1c_DUL01	12.0	week	7.29424771115012	NA	NA	NA	0.94247799765878	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL05	hba1c	NA	plasma	NR	hba1c_DUL05	0.0	week	7.59292025987707	NA	NA	NA	0.736725518918	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL05	hba1c	NA	plasma	NR	hba1c_DUL05	4.0	week	7.13495583707513	NA	NA	NA	0.69026554722188	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL05	hba1c	NA	plasma	NR	hba1c_DUL05	8.0	week	6.88938057970651	NA	NA	NA	0.630530936201351	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL05	hba1c	NA	plasma	NR	hba1c_DUL05	12.0	week	6.7699116108533	NA	NA	NA	0.60398241711611	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL10	hba1c	NA	plasma	NR	hba1c_DUL10	0.0	week	7.76548677327647	NA	NA	NA	0.7699116108533	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL10	hba1c	NA	plasma	NR	hba1c_DUL10	4.0	week	7.34734525569631	NA	NA	NA	0.995575162423171	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL10	hba1c	NA	plasma	NR	hba1c_DUL10	8.0	week	6.94911519072704	NA	NA	NA	0.67699116108533	NA	NA	NA	percent	NA
Grunberger2012	PLAC	34.0	DUL10	hba1c	NA	plasma	NR	hba1c_DUL10	12.0	week	6.64380532233789	NA	NA	NA	0.4778761286007	NA	NA	NA	percent	NA
Grunberger2012	PLAC	29.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	0.0	week	7.60619464601362	NA	NA	NA	0.67699116108533	NA	NA	NA	percent	NA
Grunberger2012	PLAC	29.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	4.0	week	7.12831851741293	NA	NA	NA	0.676990907897481	NA	NA	NA	percent	NA
Grunberger2012	PLAC	29.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	8.0	week	6.75663722471675	NA	NA	NA	0.52433635348468	NA	NA	NA	percent	NA
Grunberger2012	PLAC	29.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	12.0	week	6.63053093620134	NA	NA	NA	0.53761048643337	NA	NA	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	4.0	week	-0.0119047609007316	NA	NA	NA	0.565685223103123	NA	0.0999999643183108	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	8.0	week	-0.0023809612627581	NA	NA	NA	0.633028720393616	NA	0.111904725219042	NA	percent	NA
Grunberger2012	PLAC	32.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	12.0	week	0.00714283837521547	NA	NA	NA	0.727309719358327	NA	0.12857140864529	NA	percent	NA
Grunberger2012	PLAC	35.0	DUL01	hba1c (change)	NA	plasma	NR	hba1c_change_DUL01	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
