study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Teraruchi2014	PLAC	37.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	PLAC	37.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	4.0	week	-0.0140845902830171	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	PLAC	37.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	8.0	week	-0.122065772543039	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	PLAC	37.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	12.0	week	-0.18	NA	NA	NA	0.5431037973480553	0.175	NA	NA	percent	NA
Teraruchi2014	DUL025	36.0	DUL025	hba1c (change)	NA	plasma	NR	hba1c_change_DUL025	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL025	36.0	DUL025	hba1c (change)	NA	plasma	NR	hba1c_change_DUL025	4.0	week	-0.314553959219872	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL025	36.0	DUL025	hba1c (change)	NA	plasma	NR	hba1c_change_DUL025	8.0	week	-0.708920218623339	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL025	36.0	DUL025	hba1c (change)	NA	plasma	NR	hba1c_change_DUL025	12.0	week	-0.9	NA	NA	NA	0.5204081632653061	0.17	NA	NA	percent	NA
Teraruchi2014	DUL05	37.0	DUL05	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL05	37.0	DUL05	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05	4.0	week	-0.516431852852742	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL05	37.0	DUL05	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05	8.0	week	-0.938967054030558	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL05	37.0	DUL05	hba1c (change)	NA	plasma	NR	hba1c_change_DUL05	12.0	week	-1.15	NA	NA	NA	0.5275865459952538	0.17	NA	NA	percent	NA
Teraruchi2014	DUL075	35.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL075	35.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	4.0	week	-0.605633800294454	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL075	35.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	8.0	week	-1.10798124195794	NA	NA	NA	NA	NA	NA	NA	percent	NA
Teraruchi2014	DUL075	35.0	DUL075	hba1c (change)	NA	plasma	NR	hba1c_change_DUL075	12.0	week	-1.35	NA	NA	NA	0.5282214092053228	0.175	NA	NA	percent	NA
