study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	0.0	hr	0.0								mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	2.63350402340892	hr	1.5258164232579707e-06				8.206228813052464e-07	1.387105839325409e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	4.68178493050475	hr	3.7683049023525916e-06				1.7780078950203403e-06	3.0053818748346703e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	8.77834674469641	hr	7.582845960497496e-06				2.188319335673146e-06	3.698934794497677e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	12.5822970007315	hr	1.0588241592943343e-05				2.7354116913027934e-06	4.6236896586773664e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	24.8719824433065	hr	1.6090427736174954e-05				2.7354116913027934e-06	4.6236896586773664e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	37.7468910021945	hr	1.706140182370277e-05				2.8721832149961418e-06	4.854875729027636e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	50.0365764447695	hr	1.6968928453840313e-05				2.4618686439157336e-06	4.1613175179761965e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	62.618873445501	hr	1.5188808940613438e-05				2.325100250649997e-06	3.9301367390143605e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	75.2011704462326	hr	1.4264072067155735e-05				2.4618686439157455e-06	4.1613175179762266e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	99.7805413313825	hr	1.0703834098979725e-05				2.1883255965286942e-06	3.698945377275086e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	124.945135332845	hr	8.045213868087462e-06				1.641245762610493e-06	2.774211678650818e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	150.109729334308	hr	6.033910401065588e-06				1.2309343219578713e-06	2.0806587589881165e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	174.689100219458	hr	4.438738685841368e-06				6.838482271837717e-07	1.1559144775858353e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	249.597659107534	hr	1.8032375911230555e-06				8.206228813052676e-07	1.387105839325439e-07			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	299.049012435991	hr	1.0172102433201323e-06				5.470860947739939e-07	9.247442814020999e-08			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	349.378200438917	hr	2.774211678650857e-07				5.470860947739727e-07	9.247442814020607e-08			mole/meter^3	ng/ml
Gao2024	HEC14028	35.0	HEC14028	concentration	dulaglutide	plasma	ELISA	dulaglutide_HEC14028	398.829553767373	hr	1.3871058393254267e-07				2.7353678653127075e-07	4.623615579233392e-08			mole/meter^3	ng/ml
