study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	0.0	hr	0.0								mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	8.0	hr	1.0485158240133833e-05				7.02307466333268e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	12.0	hr	1.3650485327436281e-05				8.01224409482411e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	24.0	hr	2.017898093507452e-05				4.84690946078661e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	36.0	hr	2.205839342148944e-05				5.143662176917758e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	48.0	hr	2.344322685220989e-05				5.341496063216074e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	72.0	hr	2.156381059242747e-05				4.64907934785585e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	120.0	hr	1.632123335904432e-05				4.055581462328487e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	168.0	hr	1.177107284102139e-05				2.4729141453097507e-06				mole/meter^3	ng/ml
FDAGBCN	all	43.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_abdomen	336.0	hr	3.758828746197309e-06				1.5826673170187351e-06				mole/meter^3	ng/ml
