study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	0.0	hr	0.0								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	12.0	hr	2.1125526377316448e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	24.0	hr	2.508617670783081e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	48.0	hr	3.279837540202317e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	72.0	hr	3.441500928973028e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	168.0	hr	1.3700862605160865e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	336.0	hr	1.6954509983711217e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	504.0	hr	1.2703169425170549e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	672.0	hr	1.3986308638632897e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	696.0	hr	5.162585495070476e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	720.0	hr	5.684055033093888e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	744.0	hr	5.0225815254359194e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	816.0	hr	5.0225815254359194e-05								mole/meter^3	ng/ml
Barrington2011a	DUL3	3.0	DUL3	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL3	840.0	hr	3.104357350089241e-05								mole/meter^3	ng/ml
