study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	mean_sd	mean_se	cv	comments	mean_unit	median_unit
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	0.0	hr	0.0								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	1.0	hr	1.0101383684594793e-05								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	8.0	hr	0.0001124598358871339								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	12.0	hr	0.00013142154441076088								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	24.0	hr	0.0001703917491880538								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	48.0	hr	0.00017217093021980632								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	72.0	hr	0.0001398731096272015								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	96.0	hr	0.00011969199589173384								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	168.0	hr	6.690113040118416e-05								mole/meter^3	ng/ml
Barrington2011	DUL12	6.0	DUL12	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL12	336.0	hr	1.578940821129207e-05								mole/meter^3	ng/ml
